backend,model,mode,language,attempts,pass_rate,exact_rate,parse_error_rate,semantic_mismatch_rate,incomplete_rate,non_completable_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds,model_params_b
local,Qwen/Qwen3.5-4B,unconstrained_raw,imp,28,32.14,10.71,0.0,10.71,3.57,53.57,0.0,0.0,48.32,2.39,4.0
local,Qwen/Qwen3.5-4B,unconstrained_raw,stlc,33,12.12,0.0,0.0,6.06,33.33,48.48,0.0,0.0,45.06,2.22,4.0
local,Qwen/Qwen3.5-4B-Base,constrained_direct,fun,33,51.52,0.0,0.0,21.21,27.27,0.0,0.0,0.0,24.12,62.84,4.0
local,Qwen/Qwen3.5-4B-Base,constrained_direct,imp,28,14.29,0.0,0.0,53.57,32.14,0.0,0.0,0.0,44.39,3.12,4.0
local,Qwen/Qwen3.5-4B-Base,constrained_direct,stlc,33,54.55,0.0,0.0,30.3,15.15,0.0,0.0,0.0,18.18,12.99,4.0
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,fun,33,24.24,0.0,0.0,36.36,39.39,0.0,0.0,0.0,1061.39,100.24,4.0
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,imp,28,28.57,0.0,0.0,67.86,3.57,0.0,0.0,0.0,956.79,64.54,4.0
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,stlc,33,87.88,0.0,0.0,3.03,9.09,0.0,0.0,0.0,505.24,53.08,4.0
local,Qwen/Qwen3.5-4B-Base,unconstrained,fun,33,3.03,0.0,0.0,39.39,0.0,57.58,0.0,0.0,60.24,2.97,4.0
local,Qwen/Qwen3.5-4B-Base,unconstrained,imp,28,3.57,0.0,0.0,10.71,0.0,85.71,0.0,0.0,33.25,1.82,4.0
local,Qwen/Qwen3.5-4B-Base,unconstrained,stlc,33,69.7,30.3,0.0,15.15,0.0,15.15,0.0,0.0,29.12,1.62,4.0
local,Qwen/Qwen3.5-4B-Base,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,76.33,3.62,4.0
local,Qwen/Qwen3.5-4B-Base,unconstrained_raw,imp,28,28.57,14.29,0.0,14.29,3.57,53.57,0.0,0.0,46.64,2.31,4.0
local,Qwen/Qwen3.5-4B-Base,unconstrained_raw,stlc,33,12.12,9.09,0.0,6.06,0.0,81.82,0.0,0.0,48.94,2.4,4.0
local,Qwen/Qwen3.5-9B,constrained_direct,fun,33,21.21,0.0,0.0,30.3,48.48,0.0,0.0,0.0,67.09,93.91,9.0
local,Qwen/Qwen3.5-9B,constrained_direct,imp,28,28.57,0.0,0.0,64.29,7.14,0.0,0.0,0.0,31.89,6.34,9.0
local,Qwen/Qwen3.5-9B,constrained_direct,stlc,33,12.12,0.0,0.0,27.27,60.61,0.0,0.0,0.0,41.97,194.58,9.0
local,Qwen/Qwen3.5-9B,constrained_mixed,fun,33,69.7,0.0,0.0,15.15,15.15,0.0,0.0,0.0,1443.39,104.37,9.0
local,Qwen/Qwen3.5-9B,constrained_mixed,imp,28,42.86,0.0,0.0,57.14,0.0,0.0,0.0,0.0,792.79,33.91,9.0
local,Qwen/Qwen3.5-9B,constrained_mixed,stlc,33,96.97,0.0,0.0,0.0,3.03,0.0,0.0,0.0,618.21,30.32,9.0
local,Qwen/Qwen3.5-9B,unconstrained,fun,33,6.06,0.0,0.0,48.48,0.0,45.45,0.0,0.0,99.82,4.75,9.0
local,Qwen/Qwen3.5-9B,unconstrained,imp,28,14.29,0.0,0.0,10.71,0.0,75.0,0.0,0.0,95.89,4.55,9.0
local,Qwen/Qwen3.5-9B,unconstrained,stlc,33,84.85,36.36,0.0,12.12,0.0,3.03,0.0,0.0,60.12,2.94,9.0
local,Qwen/Qwen3.5-9B,unconstrained_raw,fun,33,36.36,18.18,0.0,6.06,0.0,57.58,0.0,0.0,33.94,1.82,9.0
local,Qwen/Qwen3.5-9B,unconstrained_raw,imp,28,46.43,14.29,0.0,14.29,0.0,39.29,0.0,0.0,36.82,1.93,9.0
local,Qwen/Qwen3.5-9B,unconstrained_raw,stlc,33,78.79,30.3,0.0,6.06,0.0,15.15,0.0,0.0,25.09,1.39,9.0
local,Qwen/Qwen3.5-9B-Base,constrained_direct,fun,33,57.58,0.0,0.0,27.27,15.15,0.0,0.0,0.0,20.79,47.49,9.0
local,Qwen/Qwen3.5-9B-Base,constrained_direct,imp,28,25.0,0.0,0.0,57.14,17.86,0.0,0.0,0.0,44.25,2.96,9.0
local,Qwen/Qwen3.5-9B-Base,constrained_direct,stlc,33,72.73,0.0,0.0,21.21,6.06,0.0,0.0,0.0,15.85,1.2,9.0
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,fun,33,33.33,0.0,0.0,33.33,33.33,0.0,0.0,0.0,869.61,113.97,9.0
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,imp,28,28.57,0.0,0.0,64.29,7.14,0.0,0.0,0.0,574.86,27.78,9.0
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,stlc,33,96.97,0.0,0.0,0.0,3.03,0.0,0.0,0.0,409.55,19.89,9.0
local,Qwen/Qwen3.5-9B-Base,unconstrained,fun,33,6.06,0.0,0.0,48.48,0.0,45.45,0.0,0.0,33.15,1.74,9.0
local,Qwen/Qwen3.5-9B-Base,unconstrained,imp,28,10.71,7.14,0.0,7.14,3.57,78.57,0.0,0.0,41.61,2.11,9.0
local,Qwen/Qwen3.5-9B-Base,unconstrained,stlc,33,78.79,39.39,0.0,15.15,0.0,6.06,0.0,0.0,12.12,0.78,9.0
local,Qwen/Qwen3.5-9B-Base,unconstrained_raw,fun,33,15.15,9.09,0.0,0.0,0.0,84.85,0.0,0.0,41.27,2.13,9.0
local,Qwen/Qwen3.5-9B-Base,unconstrained_raw,imp,28,28.57,10.71,0.0,7.14,0.0,64.29,0.0,0.0,29.39,1.58,9.0
local,Qwen/Qwen3.5-9B-Base,unconstrained_raw,stlc,33,36.36,18.18,0.0,12.12,15.15,36.36,0.0,0.0,22.55,1.29,9.0
local,Qwen/Qwen3.6-27B,constrained_mixed,fun,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.5,49.72,27.0
local,google/gemma-4-26B-A4B-it,constrained_mixed,fun,33,66.67,0.0,0.0,21.21,12.12,0.0,0.0,0.0,909.36,35.07,26.0
local,google/gemma-4-26B-A4B-it,constrained_mixed,imp,28,32.14,0.0,0.0,64.29,3.57,0.0,0.0,0.0,249.68,9.39,26.0
local,google/gemma-4-26B-A4B-it,constrained_mixed,stlc,33,90.91,0.0,0.0,0.0,9.09,0.0,0.0,0.0,657.33,24.26,26.0
local,google/gemma-4-E4B-it,constrained_mixed,fun,33,39.39,0.0,0.0,33.33,27.27,0.0,0.0,0.0,129.3,3.04,4.0
local,google/gemma-4-E4B-it,constrained_mixed,imp,28,35.71,0.0,0.0,57.14,7.14,0.0,0.0,0.0,172.79,3.75,4.0
local,google/gemma-4-E4B-it,constrained_mixed,stlc,33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.88,5.08,4.0
local,microsoft/Phi-4-mini-instruct,constrained_direct,fun,33,45.45,0.0,0.0,27.27,27.27,0.0,0.0,0.0,41.0,65.59,
local,microsoft/Phi-4-mini-instruct,constrained_direct,imp,28,28.57,0.0,0.0,57.14,14.29,0.0,0.0,0.0,37.5,10.83,
local,microsoft/Phi-4-mini-instruct,constrained_direct,stlc,33,18.18,0.0,0.0,12.12,69.7,0.0,0.0,0.0,36.61,202.45,
local,microsoft/Phi-4-mini-instruct,constrained_mixed,fun,33,15.15,0.0,0.0,39.39,45.45,0.0,0.0,0.0,155.3,114.18,
local,microsoft/Phi-4-mini-instruct,constrained_mixed,imp,28,35.71,0.0,0.0,39.29,25.0,0.0,0.0,0.0,168.0,5.96,
local,microsoft/Phi-4-mini-instruct,constrained_mixed,stlc,33,27.27,0.0,0.0,15.15,57.58,0.0,0.0,0.0,118.18,65.02,
local,microsoft/Phi-4-mini-instruct,unconstrained,fun,33,33.33,15.15,0.0,33.33,0.0,33.33,0.0,0.0,20.15,0.57,
local,microsoft/Phi-4-mini-instruct,unconstrained,imp,28,21.43,10.71,0.0,14.29,0.0,64.29,0.0,0.0,39.89,1.1,
local,microsoft/Phi-4-mini-instruct,unconstrained,stlc,33,36.36,15.15,0.0,24.24,0.0,39.39,0.0,0.0,21.03,0.59,
local,microsoft/Phi-4-mini-instruct,unconstrained_raw,fun,33,21.21,3.03,0.0,0.0,6.06,72.73,0.0,0.0,48.52,1.32,
local,microsoft/Phi-4-mini-instruct,unconstrained_raw,imp,28,3.57,3.57,0.0,0.0,0.0,96.43,0.0,0.0,83.21,2.23,
local,microsoft/Phi-4-mini-instruct,unconstrained_raw,stlc,33,3.03,0.0,0.0,3.03,3.03,90.91,0.0,0.0,57.85,1.56,
local,openai/gpt-oss-20b,constrained_mixed,fun,33,72.73,0.0,0.0,12.12,15.15,0.0,0.0,0.0,335.24,6.7,20.0
local,openai/gpt-oss-20b,constrained_mixed,imp,28,60.71,0.0,0.0,39.29,0.0,0.0,0.0,0.0,253.21,5.02,20.0
local,openai/gpt-oss-20b,constrained_mixed,stlc,33,96.97,0.0,0.0,0.0,3.03,0.0,0.0,0.0,182.67,3.61,20.0
local,openai/gpt-oss-20b,unconstrained_raw,fun,10,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,144.0,2.75,20.0
openrouter,Qwen/Qwen3.6-27B,unconstrained,fun,33,27.27,6.06,0.0,3.03,0.0,69.7,0.0,0.0,1855.0,30.83,27.0
openrouter,Qwen/Qwen3.6-27B,unconstrained,imp,28,28.57,10.71,0.0,14.29,0.0,57.14,0.0,0.0,3174.32,41.4,27.0
openrouter,Qwen/Qwen3.6-27B,unconstrained,stlc,33,51.52,15.15,0.0,0.0,0.0,48.48,0.0,0.0,2336.36,43.04,27.0
openrouter,Qwen/Qwen3.6-27B,unconstrained_raw,fun,33,12.12,6.06,0.0,3.03,0.0,84.85,0.0,0.0,786.7,15.18,27.0
openrouter,Qwen/Qwen3.6-27B,unconstrained_raw,imp,28,21.43,7.14,0.0,7.14,0.0,71.43,0.0,0.0,736.04,13.72,27.0
openrouter,Qwen/Qwen3.6-27B,unconstrained_raw,stlc,33,12.12,3.03,0.0,0.0,0.0,87.88,0.0,0.0,1006.73,17.96,27.0
openrouter,google/gemma-4-26B-A4B-it,unconstrained,fun,33,75.76,39.39,0.0,18.18,3.03,3.03,0.0,0.0,32.3,4.78,26.0
openrouter,google/gemma-4-26B-A4B-it,unconstrained,imp,28,50.0,0.0,0.0,46.43,0.0,3.57,0.0,0.0,33.61,7.85,26.0
openrouter,google/gemma-4-26B-A4B-it,unconstrained,stlc,33,100.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,21.45,3.74,26.0
openrouter,google/gemma-4-26B-A4B-it,unconstrained_raw,fun,33,78.79,36.36,0.0,6.06,3.03,12.12,0.0,0.0,32.58,2.14,26.0
openrouter,google/gemma-4-26B-A4B-it,unconstrained_raw,imp,28,50.0,0.0,0.0,46.43,0.0,3.57,0.0,0.0,33.54,2.27,26.0
openrouter,google/gemma-4-26B-A4B-it,unconstrained_raw,stlc,33,96.97,30.3,0.0,0.0,0.0,3.03,0.0,0.0,21.58,1.79,26.0
openrouter,google/gemma-4-31b-it,unconstrained,fun,33,75.76,39.39,0.0,24.24,0.0,0.0,0.0,0.0,33.18,5.97,31.0
openrouter,google/gemma-4-31b-it,unconstrained,imp,28,39.29,14.29,0.0,35.71,0.0,25.0,0.0,0.0,47.07,5.3,31.0
openrouter,google/gemma-4-31b-it,unconstrained,stlc,33,96.97,39.39,3.03,0.0,0.0,0.0,0.0,0.0,19.7,6.5,31.0
openrouter,google/gemma-4-31b-it,unconstrained_raw,fun,33,72.73,33.33,0.0,6.06,12.12,9.09,0.0,0.0,28.24,1.58,31.0
openrouter,google/gemma-4-31b-it,unconstrained_raw,imp,28,53.57,3.57,0.0,35.71,7.14,3.57,0.0,0.0,34.39,3.15,31.0
openrouter,google/gemma-4-31b-it,unconstrained_raw,stlc,33,100.0,45.45,0.0,0.0,0.0,0.0,0.0,0.0,20.97,3.67,31.0
openrouter,openai/gpt-5.3-codex,unconstrained,fun,33,9.09,6.06,15.15,3.03,24.24,48.48,0.0,0.0,115.64,24.86,
openrouter,openai/gpt-5.3-codex,unconstrained,imp,28,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,136.0,7.98,
openrouter,openai/gpt-5.3-codex,unconstrained,stlc,33,15.15,12.12,0.0,0.0,27.27,57.58,0.0,0.0,82.61,7.71,
openrouter,openai/gpt-5.4-mini,unconstrained,fun,33,63.64,27.27,30.3,6.06,0.0,0.0,0.0,0.0,25.06,16.97,
openrouter,openai/gpt-5.4-mini,unconstrained,imp,28,3.57,0.0,32.14,3.57,0.0,60.71,0.0,0.0,33.32,19.07,
openrouter,openai/gpt-5.4-mini,unconstrained,stlc,33,69.7,36.36,30.3,0.0,0.0,0.0,0.0,0.0,16.64,33.77,
openrouter,openai/gpt-5.4-mini,unconstrained_raw,fun,33,81.82,18.18,0.0,6.06,0.0,12.12,0.0,0.0,28.76,1.17,
openrouter,openai/gpt-5.4-mini,unconstrained_raw,imp,28,60.71,10.71,0.0,39.29,0.0,0.0,0.0,0.0,40.54,1.22,
openrouter,openai/gpt-5.4-mini,unconstrained_raw,stlc,33,96.97,48.48,0.0,3.03,0.0,0.0,0.0,0.0,20.88,0.99,
openrouter,openai/gpt-oss-20b,unconstrained,fun,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,140.61,2.55,20.0
openrouter,openai/gpt-oss-20b,unconstrained,imp,28,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,136.0,3.04,20.0
openrouter,openai/gpt-oss-20b,unconstrained,stlc,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,83.15,1.96,20.0
openrouter,openai/gpt-oss-20b,unconstrained_raw,fun,23,0.0,0.0,0.0,0.0,4.35,95.65,0.0,0.0,139.13,2.4,20.0
openrouter,openai/gpt-oss-20b,unconstrained_raw,imp,28,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,136.0,3.44,20.0
openrouter,openai/gpt-oss-20b,unconstrained_raw,stlc,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,83.15,1.9,20.0
openrouter,qwen/qwen3.5-35b-a3b,unconstrained,fun,33,39.39,18.18,0.0,0.0,0.0,60.61,0.0,0.0,1682.45,16.64,35.0
openrouter,qwen/qwen3.5-35b-a3b,unconstrained,imp,28,7.14,3.57,0.0,7.14,0.0,85.71,0.0,0.0,3282.75,31.37,35.0
openrouter,qwen/qwen3.5-35b-a3b,unconstrained,stlc,33,48.48,27.27,0.0,0.0,0.0,51.52,0.0,0.0,2266.18,21.58,35.0
